fen,best
1n3kr1/2pp1p1b/4p1pP/pQqN1P1P/p2P4/2b1P2N/3B4/R3KB1R w Q - 1 31,b5b8
5k2/1R6/3N4/2P1Rpn1/P4Pp1/3p1NP1/7K/8 w - - 22 113,e5e8
2bqkb1r/1ppn4/3p1P2/2r2P2/p2p2Q1/NP1P4/P1P2PP1/1RB1KB2 w - - 1 18,g4g6
8/R4b2/1rk1r3/1pP1P3/2p2P1p/3N4/4B3/3QK2R w - - 1 59,e2f3
K7/8/P6R/3k3P/7R/3N4/2P5/n7 w - - 7 81,c2c4
7k/5K2/3Q4/P7/2P1P3/p5p1/8/8 w - - 3 68,d6h6
1Q6/7p/2k5/p2p2Q1/P3Pp2/BpP2P1N/8/RN2n1K1 w - - 0 46,g5d5
rnbqkbnr/1pppp1p1/5p1p/p4Q2/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 0 4,f5g6
rn1Q4/p4N1k/4ppp1/Pb1p4/2B3p1/1pP1PnR1/1P1P1K2/R1BN4 w - - 0 31,d8h8
r3k3/ppp1p2p/2n3r1/1B1q1pB1/P2P2nb/2P2P1b/3N4/R2KQ1NR w q - 2 24,e1e7
7k/R7/8/PP6/8/4R3/4pn2/4K3 w - - 4 104,e3e8
7k/1np2bR1/2P5/5Q1p/5n2/6p1/2K3P1/3Rbq2 w - - 5 96,f5h7
5bnr/2p1p3/r3kp2/nbPq2pP/ppB1p3/P4P1P/R2QK3/2B1R3 w - - 2 27,d2d5
2Q5/5b2/1p6/1P1p1nR1/P4k2/3r4/1N1P4/2B3K1 w - - 2 62,c8f5
rn5k/pbBp3p/8/1p3P1P/1b6/p1RP2P1/B2N2r1/5K2 w - - 0 40,c7e5
rnbqkbnr/ppppp2p/8/5pp1/4P3/7P/PPPP1PP1/RNBQKBNR w KQkq - 0 3,d1h5
2rk3r/3b2Qp/2p5/pPNn1p2/P1pp2P1/6KB/4P2R/8 w - - 1 35,g7d7
q3k2r/2p4p/p2B2p1/1P3pQ1/P3b3/2npPP1N/2Pn3P/1RK4R w - - 4 40,g5e7
r1bk1qnr/p1p2Qp1/n3p3/b2p4/2PNP3/P5P1/1P1P1P1P/R1BK1BNR w - - 1 11,d4c6
3r3k/3pN3/3rn1Q1/4p2p/p3P3/3P1n2/P7/1N1K4 w - - 1 58,g6h6
rn1r4/3bBk2/p2P2pp/2p2N2/p3P3/N2R1PQP/q3BK2/6R1 w - - 2 46,g3g6
r6r/2pbb2p/np1k4/1P1ppPPP/1q2P3/PQNP3R/R2B2B1/4K1N1 w - - 2 25,b3d5
2b2rn1/1rppq3/3k3b/1P2ppp1/pP2P2P/NQNP1P1R/P2K2B1/6R1 w - - 2 32,b3d5
r1bqkbnr/ppppp1p1/n7/7p/3P1p2/2P4P/PPQ1PPP1/RNB1KBNR w KQkq - 0 5,c2g6
4r3/8/p6r/P6R/P3kpPP/B3P3/4K3/1R6 w - - 3 75,b1b4
rn2k3/p3q2p/b1rQpP2/1pN3N1/1Pp1PPn1/P5P1/7P/R1B1KB1R w q - 4 27,d6e7
1rbk2n1/pppp3r/2n5/P1Q5/1P2PppP/1P2N3/4RK2/5B1R w - - 6 41,c5f8
1r3k2/8/n1p2P2/3Q2pB/1nP3Rp/2K1p1bP/3RP3/8 w - - 11 72,d5f7
r2q2r1/3N4/nb2p3/pb3Pkp/PPQPKn2/R1P3PB/4P3/2B4R w - - 5 30,c1f4
2k1b3/8/4p3/Q1PNPp1p/5K2/6PN/2B4P/2BR4 w - - 7 48,a5c7
r1b4r/1p1p1N1p/4k1Pn/1pb1p1Q1/n3P3/P2B4/2pP1P2/1NB1K3 w - - 1 26,g5e5
3Q3R/N2p1k2/bP6/3n2b1/4qN2/8/5R1K/8 w - - 1 69,d8f8
1k6/3K3B/7P/R7/P7/7B/7R/8 w - - 1 168,h2b2
rnq1kb1r/ppp1pbpp/4Qn2/5p2/P1p2P2/6P1/1P1PP2P/RNB1KBNR w Kkq - 5 10,e6c8
2Q5/rb3p2/4Nn2/p2k1P2/P2p3p/1P2P2P/3N1K2/R1B2R2 w - - 0 44,c8c5
8/6R1/8/5K1k/p7/r7/8/8 w - - 34 142,g7h7
R7/2r4k/7P/3P1p1P/5P2/2B3nr/4b3/4K3 w - - 11 99,a8h8
r3Q3/4b3/5k2/4pP1P/6p1/2N5/R7/2K5 w - - 4 92,e8g6
4k3/1Q5p/p4P2/Pp1p2B1/1R1P4/1N6/8/1b2K1N1 w - - 19 72,b7e7
6Q1/8/3P1k2/8/1p2B2b/6B1/8/3K4 w - - 6 96,g8g6
4kB2/8/1p1RP1p1/3P2P1/3p1p1P/5P1B/r1R5/3Nn2K w - - 2 59,c2c8
rn1k4/R2B4/bb3P1p/1P6/7P/B3ppN1/P7/R1K5 w - - 5 55,a3e7
1n2kB1r/rb1pb3/1qp2p1p/p4p1P/3PQ3/2N4N/1P2P2R/R3KB2 w - - 0 28,e4e7
3bR3/2B5/7k/p6P/P3p3/8/2B3R1/3K4 w - - 18 117,e8h8
n3bb1R/rp2pk1p/5p2/3p1B2/3pP2q/PP4Q1/3PNp2/RN3K2 w - - 2 33,g3g8
8/B5r1/2k5/3b1B2/p1P2P2/6p1/2R3P1/2R3QK w - - 1 79,g1b6
2Q4r/4R2p/5k2/p3n2p/P2P3P/5bb1/1BK5/8 w - - 13 50,c8e6
1nb4r/rpp3np/1k3b2/pB1Qp1pP/P2PP1P1/2P4R/1P1B1K2/RN6 w - - 1 25,d5c5
6Q1/8/4bP1k/1p5p/7P/2p1P1p1/6P1/7K w - - 4 87,g8g7
r4b2/1pr5/p1nQ2p1/2p3kp/1PP5/P3Pp1B/1Nb2K1P/1RB4R w - - 3 32,d6f4
6kB/7p/1R2p1PP/2p1P3/5P1K/4P3/2n5/5N2 w - - 1 69,b6b8
1nb5/3pq1rp/1rkB1pNb/Q4Pp1/p1PRP3/5P2/4N1KP/5B1R w - - 0 36,a5d5
8/6Rp/2Pk3P/3PN3/BK1P4/3r4/8/8 w - - 1 110,g7d7
r6r/N1N2kbp/R1n4P/1q6/2P1b3/2Q4p/P2PPP2/2B1KB2 w - - 4 31,c3g7
r7/8/4k3/6B1/3Q4/3KN3/8/8 w - - 4 144,d4d5
k7/4R3/3R4/r5P1/8/3Kpp2/2p5/2B5 w - - 20 83,d6d8
b1rr4/n2k2Np/2pp3b/pPPPp2N/P3p1q1/5RRP/5P2/4K2B w - - 0 52,f3f7
k7/2b5/p7/P2NP1Pp/1R1B2rP/8/8/R2K4 w - - 26 118,d5c7
1k6/4n3/Q7/ppp3P1/P6B/N7/3K4/3R4 w - - 4 84,h4g3
rn3b1r/6p1/2p1k2p/p2pP1R1/P2P4/BP1Q4/3NPK2/R7 w - - 1 42,d3f5
rn1k1b2/p7/b1p1QPpr/1p2p2p/P2P1n1P/1P4PR/3B1K2/RN3B2 w - - 0 24,d2a5
3k4/2R5/PP3N2/3p1P2/4R3/1P1p4/1b6/4K3 w - - 0 100,e4e8
rq2nb1r/p1pb1ppp/n2pk3/1p4B1/7Q/3P1NP1/PP2PPBP/RN3K1R w - - 7 14,h4e4
1nb1k2r/1pppn1bp/r3N3/p3PQ2/8/2P1P3/PPBPK1PP/RNB2R2 w - - 1 22,f5f7
3k1B2/3n4/B1R4P/8/p7/2pr4/Pb2K3/8 w - - 10 89,c6c8
5N2/3N2P1/8/5k2/8/5K2/8/2R5 w - - 3 163,c1c5
8/N2B3k/N1p4p/p6P/P3rpR1/8/1B1PR3/3K4 w - - 0 63,d7f5
k7/8/8/8/4R1p1/p5K1/1R4n1/8 w - - 6 116,e4a4
2B3nr/1r6/1bP2p1p/1p2RP2/pn1k1p2/P7/3N1N1P/2BK4 w - - 10 42,c1b2
k6n/6b1/2r3pB/NQ2P2r/4R3/PKn2PP1/R7/7B w - - 3 57,b5b7
2k3r1/1p1r4/1Pp3p1/3Ppp1q/1N3P2/3b3N/4P1K1/Q4B2 w - - 3 55,a1a8
B3k3/8/3BK3/B2P4/8/1b3b2/1r5q/8 w - - 3 97,a8c6
7r/1prR4/5pkp/p1BP4/5PbP/2nP1R2/6Q1/2K3b1 w - - 3 51,g2g4
1n5b/1Br5/7p/p1pQP1pP/P4kb1/4p2R/1P6/RNK2N2 w - - 0 45,d5e4
4k3/r1R3b1/2p1p3/2P1p1N1/2PP1Bb1/p1N3Pr/P3Q1P1/1R2KB2 w - - 2 34,b1b8
2KB4/6R1/3P3k/P6p/6R1/1rb3p1/8/3N4 w - - 8 82,g4g6
qk6/rbn2QB1/4pp2/pNP5/P3PP1p/1p1p3P/6B1/5KRR w - - 0 44,f7c7
5k2/1BR3b1/8/5P2/R7/1K6/8/8 w - - 12 98,a4a8
4r3/8/6r1/kp2B1p1/6pP/8/1R2Q3/5K2 w - - 12 78,e2b5
2b1r3/2pq1k1n/p1n1p1pp/5Nb1/1P3PP1/1PQr3P/P1K1P1BR/RNB5 w - - 4 28,c3g7
4Nn2/7k/rp1pP1p1/p2P1P2/P6p/2QKP3/1R6/6r1 w - - 4 74,c3g7
Q3q1k1/P5r1/4b1p1/6Np/1P2PpPR/N7/1K3P2/2R5 w - - 1 38,a8e8
5k2/3Q4/8/8/7K/1B6/8/8 w - - 61 157,d7f7
1k6/6Q1/8/P4p1p/2K2p1P/5P2/8/3R4 w - - 3 95,d1d8
8/8/7k/8/8/P5R1/2KR1Q2/8 w - - 5 67,f2h2
8/2B5/1P1B4/2Q5/k7/8/5K2/8 w - - 23 131,c5b4
rnb2b1r/pp1pp2p/5Qqk/1PpP1P2/5Ppn/B1N5/PNP3P1/R3KB1R w KQ - 4 19,h1h4
8/8/8/4QN2/8/7k/8/1K6 w - - 65 213,e5g3
5k2/6b1/3K2P1/4P3/R5p1/4rN2/n7/1b6 w - - 7 70,a4a8
k6b/2P5/1pN5/1r3n1p/2p4P/2P5/5B1K/4N3 w - - 3 85,c7c8q
r4b1R/8/2n5/5B2/2p5/P3r1P1/n1K3R1/4k3 w - - 0 73,h8h1
8/3pr3/nq3k1b/rPQ1pPpp/P1pP1RPn/B1P4P/7K/1N1R4 w - - 11 42,c5e7
rn1n1k2/p5Rr/3b4/P1P1pP1p/1PQNp2P/R1N2B2/5P2/5K2 w - - 1 31,c4g8
5krQ/7p/1rB1p3/1P6/1P6/2Pp1pP1/2P2Kb1/RN6 w - - 2 63,h8f6
1k6/3R4/8/8/p2PNN1P/8/6RK/8 w - - 4 72,g2g8
b1kr4/B1n4n/2P2p1P/4pP2/1RPpPNpK/8/3P4/rB6 w - - 7 44,b4b8
r1bqkbnr/ppppp2p/8/5pp1/3n4/P3P3/1PPP1PPP/RNBQKBNR w KQkq - 0 5,d1h5
3k3b/8/B3P3/8/4p3/B2p4/2R5/R2nK3 w - - 0 71,c2c8
2R5/4P2p/1P5P/k7/3K4/8/1R6/8 w - - 1 137,c8a8
6R1/2pk2Pr/5r2/3KQ1p1/P7/8/8/8 w - - 5 89,e5e8
8/8/2P5/B7/8/3Q4/1K5p/7k w - - 4 135,d3f1
1N3b1r/B1k2rpp/Q2pbp2/1p4Nn/1PPppP1P/P5PR/4P3/3RKB2 w - - 4 34,g5e6
r2b2n1/1qn1k3/3N1p2/p1pP1K1Q/5B1r/pP5P/2P4R/R1N5 w - - 2 43,h5f7
7B/2NR4/1p4b1/5k2/2r5/P4K2/3b4/5n2 w - - 1 81,d7d5
1n2kb1r/4pp1p/rN6/1Npp4/P1P1PQ2/6PP/R2P1P2/2B1K2R w K - 0 24,f4b8
r2qkbnr/p2bp2p/n4p2/1p1p1Pp1/2pP3N/4P1P1/PPP4P/RNBQKB1R w KQkq - 1 11,d1h5
5rk1/2N4p/4NR2/2p3pb/1pP1p1n1/1P1n2KP/4B2R/8 w - - 2 54,f6f8
r3b1B1/p3k3/3R4/1p2r3/1B4P1/N2Q4/3b2K1/8 w - - 1 55,d6e6
r1b2k1r/pp1Bn1b1/1Q5p/2p1N2P/5pp1/P1PqP1P1/3B1P1R/R2K4 w - - 3 28,b6d8
r1bqkbnr/1p1pp3/n1p3p1/p4p1p/3PP3/2N3Q1/PPP2PPP/R1B1KBNR w KQkq - 0 7,g3g6
3k1nnr/r1q1p2p/2Ppb3/1p2PQ1P/pPPb1K2/PN6/R4p1R/2B2B2 w - - 1 34,f5f8
5k2/3R4/3P3b/8/2K2P1P/8/R7/6N1 w - - 8 88,a2a8
3k4/7b/P3Q2p/8/1bR3r1/4K3/5Q2/8 w - - 4 75,c4c8
RQ6/4k3/2P3n1/4P3/2p1N2p/5p1K/8/8 w - - 3 103,b8e8
2n2b1r/p3N1k1/3p4/prp1pQpp/4P3/1P5K/2PP3P/R1B3NR w - - 7 28,f5g6
6R1/1b6/4q3/1Pp2k2/3R1b2/4pNP1/2n5/1NK5 w - - 1 70,d4f4
r3qk2/p1p1r3/4B2b/1P6/1P2P2p/B2P1PRP/6Q1/R3K3 w - - 1 40,g3g8
rn1qk3/p2pbpp1/b1p3N1/1p2Q1p1/2PPP3/PPr5/3K1nP1/RN3B1R w q - 1 15,h1h8
rnb2r2/p4k1n/2R3pQ/3NpP2/4P1Pp/p6P/2K5/5B1R w - - 5 54,h6g6
7k/5R2/2R5/Rr6/3PP2p/1p5P/8/3K4 w - - 4 110,c6c8
1kN5/3Q1npr/p1P5/1p5p/1P6/BKRPq2B/P7/4b3 w - - 4 51,d7b7
4k3/4bppr/b1Np4/8/1p1pQ2p/Pp4NP/2P2PP1/R1K2n1R w - - 1 27,e4e7
7b/p2Pk1r1/P4p2/2P1P2Q/8/4BBpP/P7/RN2K3 w - - 0 46,h5e8
8/2r5/1N1kr3/1PpP4/p1P1R3/P6N/8/4KB2 w - - 2 85,e4e6
2n5/k7/8/4p2P/5B2/7R/1R3r2/K7 w - - 7 85,h3a3
1R4b1/2kP4/8/3PppP1/6P1/r7/8/RN1K1B2 w - - 2 73,d7d8q
3k3r/N6P/3P4/p5p1/P2KbP2/R7/3n4/2Q2N2 w - - 14 88,c1c8
r1bqkbnr/ppppp2p/2n2p2/6p1/2B5/4P3/PPPP1PPP/RNBQK1NR w KQkq - 0 4,d1h5
3k2n1/5Q2/1p1pPp1b/p2P4/Ppq1P1Pp/2N5/1BP4R/1N1RKB2 w - - 2 38,f7d7
2kr1bnr/p1pq2p1/1pQ4p/3ppp2/1P6/B1P1P3/P2P1PPP/RN2KBNR w KQ - 3 12,c6a8
1nb4k/1p6/r1p2NRr/1p2p2p/3PN2P/2nq4/3bP1B1/2R2K2 w - - 3 40,g6g8
rn2kbn1/q4pr1/p3p1p1/1PQp1bBp/3P3P/R3PN2/1PP2P2/1N2KB1R w Kq - 0 19,c5c8
kBR5/8/1p1N3b/4P3/1PP5/2K4p/r3B3/8 w - - 13 76,e2f3
3R4/1B6/8/7P/8/R7/6KN/4k3 w - - 7 139,a3e3
5rr1/5k2/2pP1ppn/p7/3p2pP/P5K1/2bPR3/2BQ1B2 w - - 2 38,e2e7
n2Q1N2/8/7k/4r3/5pP1/1R3K1p/3R4/8 w - - 0 81,d8f6
1R6/8/k7/7P/4Kn2/8/2R5/8 w - - 11 113,c2a2
4k3/7Q/8/p1p4n/q6p/2Prp2B/7P/1RK3R1 w - - 13 65,g1g8
3qkb1r/3R4/1Qp1pp2/2N2P1p/2PpP3/3P3p/1P2K1b1/2B2B2 w k - 3 38,b6d8
4kr2/3np1b1/1p2QP2/qbp2Pp1/r1P3Pp/4R3/4NK1P/3R4 w - - 11 60,e6e7
rn1qkbnr/p1p1p3/b5pp/3pN2Q/Pp1PPp1P/RPP5/5PP1/1NB1KB1R w K - 0 11,h5g6
8/7N/7P/1N4R1/8/8/5K1k/8 w - - 1 156,g5h5
rnbqkbnr/2ppp2p/pp3p2/8/4PP1R/6P1/PPPP4/RNBQKBN1 w Qkq - 0 6,d1h5
1rk1N1n1/1p2b3/b5pr/Q2p2pp/8/Bn4PP/P1K2P1R/1R6 w - - 2 35,a5c7
Q4b1r/1Bk3pp/1p3n2/2pppN2/4P3/B5PP/N1qP1P2/R3K1R1 w Q - 5 21,a8c8
1n1qkbQ1/1b1p1r2/r3Bp2/p3p2P/Pp2P3/1P3PP1/2PNK3/R5NR w - - 5 29,g8f7
8/r7/8/k6p/2B1PK2/PPR1BP2/1N6/8 w - - 7 62,b3b4
kr6/4b3/b3Q2p/p1pp1b1N/P4PP1/2R5/1N6/3K4 w - - 14 70,e6a6
2k4n/6R1/2p4R/3p2r1/P4K2/p1B5/7Q/7N w - - 7 73,h6h8
r2q2nN/pbpnppbp/1p3k1B/3p1B2/2PP2P1/8/PPQ1PP1P/RN2K2R w KQ - 1 13,g4g5
3B2n1/5r1r/1N4pp/p4k2/Pp1pbP2/6P1/1P1K4/2N2B1R w - - 4 52,f1h3
rn1qk1r1/2pb3p/p5p1/3pp1N1/1P3Qn1/B1PP3B/P3PR1P/RN2K3 w Q - 1 22,f4f7
5Rr1/5R1p/1N1k3P/1P1B4/1P6/N5p1/4K3/8 w - - 2 98,a3c4
rn3kr1/pb1BN2p/np1p3b/2p2P2/3Q2pP/6P1/PPPP1P2/RNB1K2R w - - 2 19,d4f6
4r3/1p1Pk1r1/R7/5pPn/Q3p1P1/7n/P1NPK2P/2B4R w - - 7 44,d7e8q
B4Q2/6N1/8/4k3/1p1p2P1/1R2N3/5K1p/8 w - - 0 87,e3c4
r3Q2r/pkp5/1pnq3p/P5p1/N1B1np2/b3P1PP/RPKB4/1N1R4 w - - 5 32,a5a6
3R4/2p4k/2P1r3/2P4p/1K1B3P/1P6/5NR1/8 w - - 11 85,d8h8
5bk1/R6r/1p1P1p1p/4pQ1p/7P/1P1Bq3/1P1p4/1N1K4 w - - 1 43,f5h7
2k2rN1/R1P5/4P1p1/6r1/1PbK4/B7/2q5/1N4R1 w - - 6 62,g8e7
rn1k3N/p6p/1pQ3pB/1P1P2b1/P7/R2P3q/2K3P1/1N3B1R w - - 1 31,h6g5
1rn4n/8/1p1Br1pp/p2P4/P2P2Pk/1P1bP2P/8/1NRK2NR w - - 1 43,g1f3
3kn3/p6Q/1R6/1P1r4/2p5/4P3/5K2/2B5 w - - 5 77,b6b8
1n5k/3pQ2p/B3prp1/p1p1B3/P2Nnp2/RP3P2/6PP/2K4R w - - 4 32,e7f8
1k6/1r4Q1/B2bp2p/3Pnp1P/7P/1p2P1N1/p4K2/R6R w - - 14 70,g7b7
6k1/3pQ3/1r6/pn2P1PN/P4p2/7P/3P3K/1RBRq3 w - - 1 44,e7g7
1N3k1B/4nP2/P6N/5B2/8/7P/7K/8 w - - 3 97,b8d7
3rb3/3kN3/2p2p2/pNPP4/2P4K/r1P1R3/8/8 w - - 10 64,d5c6
2Bk1nR1/R7/1r6/1pppP2n/1PP2PpP/6P1/1B2N3/2K3R1 w - - 0 60,g8f8
7k/8/P6K/4R3/8/6N1/8/8 w - - 15 200,e5e8
3k4/8/1PP5/P2P4/8/8/5Q2/3K4 w - - 1 92,f2f8
2b1k3/R4n2/8/2pp1P1P/2PN3P/1p5N/5K2/5BQR w - - 0 63,g1g8
r1b2b1r/1p1pnppp/4pk2/Q7/4PPq1/3BK2P/PPPP4/RNB3NR w - - 2 18,e4e5
5Q2/k7/4R3/6P1/4B1K1/8/8/3r4 w - - 0 82,f8a8
4r1k1/N2Q2pb/4pp2/2P5/4B3/1p4P1/1K1B3R/2n5 w - - 6 61,d7e8
rnb2NB1/2k5/5p2/2pRqpP1/p1N5/2pP4/1Q5r/R4K2 w - - 0 37,b2b6
4k3/4p2p/5Q2/n1p1pN1P/P1p3rr/4K3/R7/3R4 w - - 2 65,f6e7
3r1b2/2pnk3/pp2b3/2q3Pp/2pP2p1/PP2Q2B/1B2RK2/2R5 w - - 4 44,e3e6
8/k1N5/5p2/2P2P1P/3rP3/1Q3n2/8/1K6 w - - 0 100,b3b6
2rk4/7R/5N2/5ppr/p1pP3n/2P5/1P4p1/2RK4 w - - 1 51,h7d7
1n3kr1/3p2p1/3bppPp/Q4r1n/Bp1P4/P1N2R1P/1p6/6KR w - - 2 40,a5d8
8/5B2/8/7P/8/6Q1/8/3K1k2 w - - 17 161,f7c4
r3kb1r/p2npp1p/b5p1/1pPpN2n/P3P1Q1/2q3P1/3P1P1P/RNB1KB1R w KQkq - 1 11,g4d7
7k/2n5/6K1/6N1/P6P/8/3r1Q2/2n5 w - - 4 95,f2f8
8/8/2r4p/2p1R1pP/p3P2k/2bpBB2/P3R3/5KN1 w - - 6 75,e3f2
1n3n2/2kp1N2/2bN1p2/rpPpp1p1/1B2P3/1P3P2/7Q/R3K3 w Q - 6 36,b4a5
4n2k/3R4/4Q3/p1r5/P4p1P/7n/8/4K3 w - - 14 91,e6e8
Q7/8/2p5/1kr5/3R2p1/2P5/3K1Nn1/3b4 w - - 2 87,d4b4
rn1b1k1r/5ppp/1Q1p2qn/p1p5/P1NPP3/2P2PPB/1P1K3P/R1B3NR w - - 0 20,b6d8
rnb2b1r/p2qp1p1/1p6/PPpk3p/3PnB1P/R1PP4/2K1Qp2/1N4NR w - - 2 23,e2e4
6R1/7k/8/6K1/6N1/5p2/7b/8 w - - 20 106,g4f6
3k4/5Q2/3p3n/b2p3p/3P1Nq1/3K2R1/8/4R3 w - - 13 75,e1e8
r3r3/6R1/p4b1k/2P2B1p/PB3P1q/Q1pp2n1/2P1P3/6KR w - - 0 40,g7h7
r1b1kbnr/3p2Q1/pqn2P1B/1pp1p2p/8/P2P4/1PP1KPPP/RN3BNR w kq - 0 11,g7f8
r1B2k2/2Q5/4B2p/1P1p3r/pP4K1/8/2N4R/8 w - - 0 61,c7f7
1Q4R1/3kB3/8/Pp6/1R3P2/3K4/2p1N3/1N6 w - - 0 53,b8d6
5kr1/3n1b1p/r1NpQn1P/2p3P1/1p4PR/2P1P3/P2B4/R3K1N1 w Q - 1 31,e6e7
rnb2kn1/1Q2pr2/6q1/p1P3p1/2P4p/PP3PPp/4P2P/B1RK2R1 w - - 0 27,b7c8
3k2K1/6Q1/8/4N2P/8/1p6/4b3/8 w - - 9 136,g7d7
r2k4/p1pr4/n5p1/1p1P2P1/5pb1/1P2Q3/P1N1PKPR/R1B5 w - - 5 40,h2h8
6kr/7p/3P3B/ppP5/P5P1/R5nP/3N2BP/4K3 w - - 5 46,g2d5
4k3/1p5R/1P6/R4P2/p1b1Pp1P/P1p3p1/8/2K5 w - - 9 77,a5a8
6b1/3NK3/1P4P1/7p/p3p2k/P1r4p/8/2B3R1 w - - 8 59,c1g5
r1bqkbnr/ppppp2p/n7/2P2pp1/PP2P3/8/3P1PPP/RNBQKBNR w KQkq - 0 6,d1h5
r3k1N1/8/6pp/1PBR4/1n4bP/p5P1/P1B5/5KbR w - - 0 49,c2g6
2q5/5N1k/8/2r5/5QQp/8/8/5K2 w - - 18 96,f4h6
rnbqkbnr/ppppp2p/5p2/6p1/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq - 0 3,d1h5
2b4r/3knQ2/2q2P1B/3pp3/1p4PP/RP1P1K2/1N2n2R/5B2 w - - 4 56,f7e7
3k4/1Q6/2P5/8/2R3K1/3n4/2b5/8 w - - 1 130,b7d7
rnbqkbnr/p1ppp2p/5p2/1p4p1/8/N2PP3/PPP2PPP/R1BQKBNR w KQkq - 0 4,d1h5
2bQ4/1R1p4/P1p4p/1R1rk3/P1rp2KP/3P4/6B1/8 w - - 7 68,d8e7
rn1q1bnr/3Qpkp1/p2p1p2/8/2Np1P1p/3BP1P1/PPP4P/1RB1K1NR w K - 0 16,c4d6
r3N3/1b3p2/p1r1pnpb/kp4R1/3P1P1P/N7/2PK3P/QR3B2 w - - 4 32,a3c4
3k2q1/pBpr3r/b2pQ1pb/1p2Pp1p/1P1N2P1/P1P4P/1B1NP1K1/R1R5 w - - 3 28,d4c6
4kn1Q/3b1R2/3p4/pB1P1p2/P3P3/NP6/r7/R1B1K3 w - - 7 36,h8f8
4k3/3rr3/5QPp/p3p3/PpN1P3/1p5b/R1N3B1/3R1K2 w - - 9 51,f6h8
k1b2br1/4R3/p1NnN3/2rn4/1Pp5/2P2p2/R4K2/8 w - - 0 55,e7a7
2r1k1nQ/p1pp4/6p1/2BP4/bpP3nP/bP6/P2NP3/R2KNB1R w - - 0 29,h8g8
r1bqkbnr/p1ppp2p/np3p2/1N4p1/4P3/7P/PPPP1PP1/R1BQKBNR w KQkq - 0 5,d1h5
k4N2/r5b1/P5pR/5n2/1P1p4/N1RK4/8/8 w - - 3 81,c3c8
1k2n1n1/R3N3/3Nr3/P3p2p/2P2R2/8/6K1/8 w - - 3 72,e7c6
5k1b/1r3p2/2pppB2/Q4p2/3P2N1/1P2RK2/R1P1P3/8 w - - 7 43,a5d8
r1Q3R1/N3qn2/3r1k2/5p1K/P2P3P/8/3n4/8 w - - 2 81,g8g6
8/8/k3K3/4Rp2/2N4R/8/6B1/8 w - - 11 103,e5a5
2Qr4/k7/4p1Pn/P1pbP2p/2PP1R2/B5n1/8/6K1 w - - 11 65,a3c5
2Bk2B1/2r2R2/5P2/3P1r2/5b1B/p7/P3P3/2n2KN1 w - - 0 69,f7f8
8/B7/8/1R6/1r6/p1N3RK/P7/5k2 w - - 24 91,g3g1
b2r4/1npk4/1p3p1P/3p2N1/3qQP2/p5P1/P4RK1/RNB5 w - - 0 38,e4e6
4Q3/2k5/n1P5/2r5/2P1Pp2/3B4/6K1/1R4NN w - - 4 96,e8d7
1rbq2kr/pppp1pbp/n3p1p1/4N3/2Nn1Q2/1P1P2P1/P1P2PBP/R1B1K2R w KQ - 6 16,f4f7
2N1N3/2nR4/1r2k3/5NP1/p3K3/P7/8/8 w - - 7 104,d7e7
2k5/Q4n2/1P3R2/8/7p/2N5/4K3/2b5 w - - 1 75,a7c7
k7/p7/P1n5/1N1B3N/1pPp1BPb/1K3p1P/1R6/8 w - - 4 65,d5c6
r2kN3/p2b3r/1NPn3p/1Rp4P/Pn6/2P3p1/4QP1q/3KB3 w - - 4 42,c6c7
2nB4/5n1r/3kqbp1/pp3P1p/P4PPP/NpRp1R2/8/3KQ3 w - - 6 59,e1e6
2r4k/6rp/4P3/p3Qp2/3p4/K1N3R1/3q4/8 w - - 1 65,e5g7
8/1r1n4/BQ3r2/P2P2k1/4Pp2/N2p1P2/N7/b1RK2nR w - - 2 59,b6g1
rn1qkbnr/p1pbp2p/5p2/1p1p2p1/3P4/1P2P3/P1P2PPP/RNBQKBNR w KQkq - 5 8,d1h5
R5R1/2pN1kr1/3pN3/2pP4/1PP5/5K2/4n3/8 w - - 3 62,g8g7
1nrk2r1/6p1/bpP2P1n/1P1P2P1/PpB1Q3/7R/2P5/1R3KN1 w - - 3 42,e4e7
R7/r3R1Bk/2n5/3P2b1/p2Pp2p/7N/4P1B1/4K2R w - - 5 68,g2e4
3n1nkr/6bp/2N5/2P1pppQ/3N4/4P1PP/3K1P1R/n4B2 w - - 6 38,c6e7
7b/8/6B1/Q7/7k/1P1K1R1p/8/8 w - - 9 101,a5h5
4r1nr/1bp1knbN/pQ2p1p1/7p/1P3p1P/4P3/PBPPNKP1/4RBR1 w - - 9 27,b6c7
2B5/4q1p1/p1nk1p2/1pp1N3/P1Pp1Q2/1R1p4/1P1B1P1P/1N3K1R w - - 1 35,e5f7
1Q6/6Rp/k7/5Pp1/6K1/7P/2P5/4q3 w - - 1 60,g7a7
r2kr3/1Q2pp2/pPp1b1pb/2Pp3p/1P3PP1/B1P4P/R3PKn1/1N3BNR w - - 3 26,b7c7
5r1r/1b1Q2pk/Pp2p3/3p1p1p/7P/2PP4/3NK1R1/b4B2 w - - 1 55,d7g7
1n2q1rr/4Q3/p4R2/1k2p3/2p1P2p/PPK4P/1R3PBP/5N2 w - - 7 45,e7b4
3k1bnr/r1p5/6Q1/p2p1p2/n1NP2Pq/1Pp5/P1N2PK1/R3RB2 w - - 0 32,g6e8
